ID,DATE1,AGE1,GENDER,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQSCORE1,DATE2,DQ1_2,DQ2_2,DQ3R_2,DQ4_2,DQ5_2,DQ6_2,DQ7_2,DQ8_2,DQ9_2,DQ10_2,DQ11_2,DQ12_2,DQ13_2,DQ14_2,DQ15_2,DQ16_2,DQ17_2,DQ18_2,DQSCORE2,TIMEDIFFDAYS
173,10-Oct-18,42,2,5,4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,4,3,73,14-Nov-18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,3,70,35
174,10-Oct-18,19,1,4,4,2,5,4,4,4,5,2,5,4,4,4,4,3,5,4,3,70,13-Nov-18,4,4,4,5,4,5,5,5,4,4,2,5,4,5,4,5,4,4,77,34
175,17-Oct-18,20,2,4,2,2,2,4,4,4,2,1,3,1,5,4,3,1,2,2,1,47,14-Nov-18,4,2,2,1,3,4,4,4,1,2,2,5,3,4,2,2,2,1,48,28
180,10-Oct-18,23,2,5,4,4,2,5,4,5,5,2,2,2,4,4,4,3,4,4,3,66,13-Nov-18,4,4,4,2,4,4,4,4,3,4,3,4,4,4,4,4,4,3,67,34
181,10-Oct-18,20,1,5,1,2,2,5,5,4,5,4,2,5,5,4,5,5,4,2,3,68,13-Nov-18,4,3,1,4,4,4,3,4,4,3,2,4,3,4,5,3,2,2,59,34
182,10-Oct-18,19,1,4,3,2,4,3,5,4,3,2,3,2,4,1,5,1,5,1,2,54,13-Nov-18,4,2,2,5,2,5,4,1,1,4,2,1,3,5,2,4,2,1,50,34
183,11-Oct-18,18,1,4,3,2,3,3,4,3,3,2,2,2,4,3,3,4,3,2,2,52,13-Nov-18,4,2,1,1,1,3,2,5,1,1,1,3,3,5,3,3,3,2,44,33
184,15-Oct-18,20,2,5,2,2,5,4,4,2,2,2,2,4,5,4,4,5,5,2,2,61,16-Nov-18,4,2,1,4,2,4,3,2,1,2,3,5,4,5,4,5,2,1,54,32
185,10-Oct-18,23,1,1,3,2,2,1,3,1,4,5,2,1,2,1,1,1,1,2,1,34,14-Nov-18,1,2,1,2,2,4,3,4,4,1,2,4,1,1,1,2,2,2,39,35
186,10-Oct-18,19,1,5,4,3,1,4,4,1,4,3,2,2,4,4,4,4,4,2,3,58,16-Nov-18,4,4,3,2,4,4,2,4,2,4,3,5,4,3,3,2,2,2,57,37
187,10-Oct-18,19,1,2,2,2,2,1,2,2,3,2,1,1,4,2,2,2,2,1,1,34,13-Nov-18,2,1,2,2,2,2,2,2,2,1,1,4,2,4,2,2,1,2,36,34
188,11-Oct-18,21,2,4,4,1,2,3,2,2,1,2,2,3,3,2,2,1,3,2,2,41,13-Nov-18,2,2,2,2,1,3,2,1,1,1,2,3,2,3,2,3,2,1,35,33
189,10-Oct-18,23,1,4,4,1,2,4,4,1,5,4,4,5,4,4,4,5,5,2,2,64,12-Nov-18,2,4,2,4,2,4,2,4,2,4,4,3,3,4,4,4,2,2,56,33
191,11-Oct-18,20,2,2,4,2,5,4,4,3,2,1,2,4,2,4,4,4,2,1,1,51,14-Nov-18,2,4,2,5,4,4,4,4,4,4,4,4,5,4,2,4,2,2,64,34
193,10-Oct-18,19,1,4,3,2,3,4,5,4,4,3,2,3,5,4,5,4,5,4,4,68,13-Nov-18,4,3,2,4,4,5,5,4,4,3,4,4,5,4,3,4,4,4,70,34
194,10-Oct-18,19,2,5,2,2,1,4,5,2,5,4,2,2,5,5,5,4,5,5,4,67,13-Nov-18,5,2,2,2,3,4,2,4,1,2,2,4,3,3,3,4,3,2,51,34
197,10-Oct-18,19,2,4,2,2,4,4,4,2,4,4,2,4,4,5,4,2,2,2,4,59,13-Nov-18,4,4,2,2,2,4,4,4,4,3,4,4,2,2,2,4,4,4,59,34
198,10-Oct-18,20,2,5,4,3,1,4,4,2,4,3,2,1,4,5,4,2,5,5,5,63,13-Nov-18,5,4,2,2,2,5,4,5,4,2,2,5,5,5,2,4,4,4,66,34
200,11-Oct-18,19,2,5,3,3,3,5,5,4,4,3,3,3,5,5,4,2,4,4,3,68,13-Nov-18,3,3,5,3,5,5,5,5,3,4,4,4,4,2,2,5,5,2,69,33
201,10-Oct-18,20,1,4,4,1,3,4,4,3,4,5,4,2,5,4,4,5,4,4,4,68,13-Nov-18,4,3,2,3,2,2,1,2,4,4,2,5,3,5,5,3,4,3,57,34
202,10-Oct-18,33,2,4,5,2,4,3,4,4,5,4,3,4,4,4,5,4,5,3,2,69,13-Nov-18,5,2,2,2,2,4,4,5,5,2,4,5,5,5,5,5,5,2,69,34
204,10-Oct-18,28,1,4,2,2,2,4,3,2,3,1,2,2,5,2,2,3,2,3,1,45,13-Nov-18,4,2,2,2,3,3,3,2,1,2,2,4,2,2,2,3,2,2,43,34
205,10-Oct-18,18,1,4,2,1,4,2,4,2,3,2,2,3,4,4,4,2,3,2,2,50,13-Nov-18,4,2,1,3,3,4,1,1,2,1,2,4,3,4,4,2,3,1,45,34
206,10-Oct-18,28,2,2,2,1,4,4,3,2,1,1,2,3,4,3,1,3,2,4,1,43,13-Nov-18,3,4,1,3,4,4,3,2,1,2,3,4,1,1,3,1,3,1,44,34
207,10-Oct-18,25,2,1,2,1,1,2,2,1,1,1,1,1,4,2,1,3,1,1,1,27,13-Nov-18,1,2,1,3,2,2,3,1,1,1,1,3,1,2,1,1,2,1,29,34
208,10-Oct-18,21,1,4,2,2,2,2,4,2,3,5,4,3,4,2,4,5,2,2,2,54,13-Nov-18,4,2,2,4,2,3,2,2,4,2,2,2,3,4,4,2,2,2,48,34
209,10-Oct-18,17,2,4,2,2,1,2,5,1,4,2,4,4,5,4,5,2,2,4,4,57,13-Nov-18,5,4,2,2,2,5,4,5,1,4,5,5,5,4,2,2,2,2,61,34
212,16-Oct-18,23,2,2,1,1,2,3,4,2,3,2,2,2,4,3,2,3,2,2,2,42,29-Nov-18,2,2,1,1,2,3,2,3,1,1,1,4,2,1,1,3,1,1,32,44
213,21-Oct-18,19,2,4,2,1,4,4,4,4,4,2,2,2,4,5,4,2,4,4,2,58,28-Nov-18,4,2,2,5,4,2,2,4,1,2,2,5,5,4,2,5,2,1,54,38
214,10-Oct-18,18,1,5,2,4,4,5,5,5,3,3,4,3,5,3,4,4,5,4,5,73,13-Nov-18,5,4,3,2,5,4,5,3,4,4,4,4,5,5,3,5,2,4,71,34
216,10-Oct-18,32,2,4,4,4,5,5,4,2,4,5,4,4,5,5,5,4,5,5,5,79,13-Nov-18,5,4,4,5,4,5,5,5,5,4,5,5,5,4,2,5,4,5,81,34
217,10-Oct-18,21,1,4,2,2,3,1,4,4,2,2,1,3,5,4,4,4,4,4,2,55,13-Nov-18,2,2,5,1,2,3,3,3,3,2,2,2,3,3,1,2,1,2,42,34
218,11-Oct-18,21,2,4,2,5,4,5,2,5,5,1,2,1,4,5,2,2,5,5,2,61,14-Nov-18,4,3,4,5,5,5,5,4,2,2,2,4,5,1,1,2,4,2,60,34
219,10-Oct-18,25,2,4,2,2,5,3,5,5,5,4,2,4,5,5,3,2,5,3,2,66,13-Nov-18,3,2,1,4,4,5,4,4,4,4,4,4,3,3,2,4,4,3,62,34
220,10-Oct-18,26,2,2,1,3,2,1,4,2,4,1,2,1,5,4,5,4,4,4,2,51,13-Nov-18,2,4,2,2,2,4,2,4,2,2,2,4,4,5,4,4,2,2,53,34
222,11-Oct-18,54,2,5,5,1,5,4,4,5,5,5,4,5,5,5,5,4,5,5,4,81,14-Nov-18,4,5,2,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,82,34
223,10-Oct-18,19,1,2,1,1,2,2,1,2,4,1,1,1,4,2,4,4,2,1,1,36,13-Nov-18,4,1,2,2,1,3,2,2,1,2,1,3,2,4,3,2,2,1,38,34
224,13-Oct-18,20,1,1,1,2,1,1,2,3,2,1,1,1,4,2,4,4,1,1,1,33,13-Nov-18,1,4,1,2,2,3,2,4,1,1,1,4,1,4,3,2,1,1,38,31
225,11-Oct-18,18,1,4,1,2,2,2,2,3,4,2,1,1,2,1,2,2,4,2,2,39,14-Nov-18,4,1,1,1,2,4,2,2,1,2,2,4,1,4,5,2,2,2,42,34
226,11-Oct-18,29,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,88,14-Nov-18,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,89,34
227,10-Oct-18,18,2,5,4,1,5,4,5,5,4,3,3,4,5,5,5,5,5,5,3,76,13-Nov-18,5,5,2,5,4,5,5,3,4,4,4,5,5,4,2,4,5,5,76,34
228,12-Oct-18,19,1,4,2,4,5,5,4,3,4,2,3,4,4,4,5,4,4,4,4,69,13-Nov-18,4,4,4,5,5,4,4,3,4,4,3,4,4,4,5,4,4,4,73,32
229,10-Oct-18,18,1,4,4,1,3,2,4,3,4,1,2,1,5,3,2,1,2,3,5,50,13-Nov-18,4,2,2,1,2,4,2,1,1,2,1,5,2,1,1,2,2,1,36,34
230,10-Oct-18,20,1,2,1,1,2,1,4,1,3,1,1,1,3,1,3,2,2,2,1,32,13-Nov-18,2,1,1,1,2,4,1,4,1,1,1,3,1,1,4,1,1,1,31,34
